english,japanese,type,grade
twelfth,１２番目の,other,3
thirteenth,１３番目の,other,3
fourteenth,１４番目の,other,3
fifteenth,１５番目の,other,3
sixteenth,１６番目の,other,3
seventeenth,１７番目の,other,3
eighteenth,１８番目の,other,3
nineteenth,１９番目の,other,3
twentieth,２０番目の,other,3
thirtieth,３０番目の,other,3
unhappy,不幸な,other,3
lazy,怠け者の,other,3
brave,勇敢な,other,3
pale,青ざめた,other,3
simple,簡単な，質素な,other,3
daily,毎日の,other,3
exciting,興奮させる,other,3
senior,年上の，上級の,other,3
safe,安全な,other,3
national,国家の，国民の,other,3
Chinese,中国の，中国人の,other,3
another,ほかの，もうひとつの,other,3
than,よりも,other,3
while,～する間,other,3
but,しかし,other,3
when,～するとき,other,3
during,～の間，～を通じて,other,3
excited,興奮した,other,3
fat,太った,other,3
funny,おかしな,other,3
cute,可愛い,other,3
sleepy,眠い,other,3
delicious,おいしい,other,3
calm,落ちついた,other,3
tiny,小さな,other,3
final,最後の,other,3
central,中心の,other,3
wet,濡れている,other,3
common,共通の,other,3
because,なぜなら,other,3
and,～と,other,3
however,しかし,other,3
hello,こんにちわ,other,3
after,～の後で,other,3
crazy,気の狂った,other,3
fond,好きで,other,3
friendly,好意的な,other,3
silent,静かな,other,3
close,接近した,other,3
real,ほんとうの,other,3
certain,ある,other,3
wrong,間違った，ぐあいが悪い,other,3
weekly,週刊,other,3
snowy,雪の降る,other,3
whole,すべての,other,3
if,もし,other,3
although,であるけれど,other,3
though,だけれども,other,3
or,それとも,other,3
between,～と～の間,other,3
tonight,今夜(は),adverb,3
ever,今まで,adverb,3
once,かつて，１度,adverb,3
finally,ついに,adverb,3
straight,まっすぐに,adverb,3
everywhere,どこでも,adverb,3
down,下に,adverb,3
pretty,かなり,adverb,3
besides,その上,adverb,3
maybe,おそらく,adverb,3
surely,確かに,adverb,3
certainly,確かに,adverb,3
easily,かんたんに,adverb,3
neither,～も～も(ない),adverb,3
alone,ひとりきりで,adverb,3
hard,いっしょうけんめい,adverb,3
forever,永久に,adverb,3
suddenly,突然,adverb,3
especially,特に,adverb,3
quickly,すばやく,adverb,3
long,長く,adverb,3
away,離れて,adverb,3
abroad,外国へ,adverb,3
ahead,前方に,adverb,3
all,まったく,adverb,3
almost,ほとんど,adverb,3
indeed,実に,adverb,3
else,そのほかに,adverb,3
anyway,ともかく,adverb,3
either,(もまた)～でない,adverb,3
gently,やさしく,adverb,3
probably,多分,adverb,3
happily,幸せに，楽しく,adverb,3
then,それから，そのとき，それでは,adverb,3
twice,２回,adverb,3
still,まだ,adverb,3
recently,最近,adverb,3
off,離れて,adverb,3
across,横にさし渡し，横切って,adverb,3
round,まわりに(を),adverb,3
just,ちょうど，ただ単に,adverb,3
quite,まったく,adverb,3
perhaps,多分,adverb,3
even,～さえ,adverb,3
quietly,静かに,adverb,3
fine,うまく,adverb,3
carefully,注意深く,adverb,3
never,１度も～ない,adverb,3
really,本当に,adverb,3
accept,…を受け入れる,verb,4
achieve,…を達成する,verb,4
acquire,…を身につける,verb,4
add,…を付け加える,verb,4
advance,前進する／前進，事前,verb,4
affect,…に影響を与える,verb,4
agree,同意する，賛成する,verb,4
allow,…を許可する，…が～するのを許す,verb,4
appear,現れる，…のように思われる,verb,4
apply,…を適用する，当てはまる,verb,4
approach,…に近づく,verb,4
argue,（感情的に）論じる，…だと主張する,verb,4
assume,…を当然のことと思う，…を引き受ける,verb,4
avoid,…を避ける,verb,4
bear,…を我慢する,verb,4
beat,…をうち負かす,verb,4
belong,属する,verb,4
bite,…を噛む，…を刺す,verb,4
care,気にかける／注意，関心,verb,4
catch,…に乗るのに間に合う，…が～しているのを見つける,verb,4
claim,…が自分のものだと主張する,verb,4
communicate,意思を伝える，…を伝達する,verb,4
compare,…を比較する，…をたとえる,verb,4
consider,…について考える，…を～だと見なす,verb,4
consume,…を消費する,verb,4
contact,…と連絡をとる／接触，連絡,verb,4
contain,…を含む，…が入っている,verb,4
continue,…を続ける,verb,4
cost,…を（費用として）必要とさせる／費用,verb,4
count,重要である，数える,verb,4
cover,…を覆う，…（の範囲を）カバーする,verb,4
create,…を作り出す，…を創造する,verb,4
cross,…を横切る／不機嫌な,verb,4
decline,…を断る，衰退する／低下，衰退,verb,4
define,…の意味を明確に述べる,verb,4
depend,依存する，次第である,verb,4
describe,…について述べる，…を描写する,verb,4
destroy,…を破壊する,verb,4
determine,…を決める,verb,4
develop,…を発達［発展］させる，発達する,verb,4
die,死ぬ,verb,4
disappear,消える,verb,4
discover,…を発見する,verb,4
draw,…を引きつける,verb,4
earn,…を稼ぐ,verb,4
encourage,…を励ます，…を助長する,verb,4
enter,…に入る,verb,4
establish,…を設立する,verb,4
excite,…を興奮させる,verb,4
exist,存在する,verb,4
expect,…を予想する，…を期待する,verb,4
explain,…を説明する,verb,4
express,…を表現する,verb,4
face,…に直面する,verb,4
fail,失敗する,verb,4
fear,…を恐れる／恐れ,verb,4
feed,…に食べ物を与える，…を養う,verb,4
fire,…を首にする,verb,4
fit,…に適合する／適した,verb,4
flow,流れる／流れ,verb,4
follow,…の後を追う,verb,4
gain,…を得る／獲得,verb,4
gather,…を集める，集まる,verb,4
get,…になる，…を手に入れる,verb,4
guess,…だと思う，…を推測する／当てずっぽう,verb,4
hit,…を叩く,verb,4
hold,…を（一時的に）持っている,verb,4
hunt,捜し求める,verb,4
hurt,…を傷つける,verb,4
imagine,…を想像する,verb,4
improve,…を改善する,verb,4
include,…を含む,verb,4
increase,…を増やす，増える,verb,4
indicate,…を指し示す,verb,4
influence,…に影響を及ぼす／影響,verb,4
insist,要求する，主張する,verb,4
introduce,…を紹介する，…を導入する,verb,4
invent,…を発明する,verb,4
involve,…を含む，…を巻き込む,verb,4
lay,…を横たえる,verb,4
lead,…の先頭に立つ，つながる,verb,4
lie,横たわる，嘘をつく,verb,4
lose,…を失う，負ける,verb,4
maintain,…を維持する，…だと主張する,verb,4
manage,何とかうまくやる，管理を行う,verb,4
manufacture,製造する,verb,4
marry,…と結婚する,verb,4
mean,…を意味する，…を意図する,verb,4
mention,…について言及する,verb,4
miss,…が（い）ないのを寂しく思う，…に乗り損なう，ミスする,verb,4
observe,…を観察する，…を遵守する,verb,4
offer,…を申し出る／申し出,verb,4
perform,…を行う，機能する,verb,4
please,…を喜ばせる,verb,4
prefer,…をより好む,verb,4
prepare,準備をする，…に準備をさせる,verb,4
press,…を押す／マスコミ,verb,4
prevent,…を妨げる,verb,4
produce,…を生みだす，…を生産する,verb,4
program,（実施）計画，プログラム,verb,4
protect,…を守る,verb,4
prove,…を証明する，…だと判明する,verb,4
provide,…を［…に］与える,verb,4
publish,…を出版する,verb,4
raise,…を上げる,verb,4
reach,…に到着する，…に手が届く,verb,4
realize,…だとわかる，…を実現する,verb,4
receive,…を受け取る,verb,4
recognize,…がそれ（その人）だとわかる,verb,4
reduce,…を減らす,verb,4
refer,言及する，述べる,verb,4
reflect,…を反映する，熟考する,verb,4
refuse,…を拒否する,verb,4
regard,…を～と見なす,verb,4
remain,…のままである，残る,verb,4
remember,…を覚えている，…を思い出す,verb,4
reply,返答する／返答,verb,4
represent,…を表す，…を代表する,verb,4
require,…を必要とする,verb,4
reveal,…を明らかにする,verb,4
rise,上がる，昇る,verb,4
risk,危険，…を危険にさらす,verb,4
rule,…を統治する／規則，習慣,verb,4
satisfy,…を満足させる,verb,4
save,…を省く，…を救う，…を貯蓄する,verb,4
search,…を捜す／探索，捜索,verb,4
seat,…を着席させる／席,verb,4
seek,…を求める,verb,4
seem,…であるようだ,verb,4
serve,…の役に立つ，…に仕える,verb,4
share,…を分かち合う,verb,4
solve,…を解く,verb,4
sound,…に聞こえる／音,verb,4
spend,…を費やす,verb,4
spread,広がる，…を広げる,verb,4
stay,…のままである，とどまる,verb,4
steal,…をこっそり盗む,verb,4
stick,くっつく，固執する／棒きれ,verb,4
strike,…を叩く，…に～という印象を与える,verb,4
struggle,もがき苦しむ,verb,4
suffer,苦しむ，…を患う,verb,4
suggest,…を提案する，…を示唆する,verb,4
support,…を支持［支援］する／支持，支援,verb,4
suppose,…だと思う，…だと仮定する,verb,4
surprise,…を驚かせる／驚き,verb,4
survive,（…を切り抜け）生き残る,verb,4
tend,…する傾向がある,verb,4
treat,…を扱う,verb,4
vary,さまざまである,verb,4
waste,…を浪費する／浪費，廃棄物,verb,4
wear,…を身につけている,verb,4
win,勝つ，…を勝ち取る,verb,4
wonder,…かなと思う／驚き,verb,4
worry,…を心配させる／心配,verb,4
action,動作，行動,noun,4
activity,活動,noun,4
advantage,有利，利点,noun,4
aid,援助／…を助ける,noun,4
amount,量，額,noun,4
area,地域，面積,noun,4
arms,武器，兵器,noun,4
aspect,局面,noun,4
atmosphere,雰囲気,noun,4
attempt,試み／…を試みる,noun,4
attitude,考え方，態度,noun,4
audience,聴衆，観客，視聴者,noun,4
basis,土台，基礎,noun,4
behavior,行動，振る舞い,noun,4
benefit,利益／…に利益をもたらす,noun,4
bill,請求書，紙幣，法案,noun,4
birth,誕生,noun,4
blood,血,noun,4
brain,頭脳,noun,4
case,場合，事例,noun,4
cause,原因／…の原因となる，…に～させる,noun,4
challenge,挑戦，難題／…に異議を唱える,noun,4
chance,機会，可能性，偶然,noun,4
character,性格，特質,noun,4
choice,選択（肢）,noun,4
civilization,文明,noun,4
class,階級，等級，授業，学級,noun,4
clerk,事務員,noun,4
communication,コミュニケーション，意思の伝達,noun,4
community,共同社会,noun,4
company,会社，仲間,noun,4
competition,競争，競争相手,noun,4
content,中身，目次／満足して,noun,4
control,支配，制御／…を支配［制御］する,noun,4
crowd,群衆，人混み,noun,4
culture,文化,noun,4
customer,顧客,noun,4
damage,損害／…に損害を与える,noun,4
degree,程度，度,noun,4
demand,要求，需要／…を要求する,noun,4
desire,願望／…を強く望む,noun,4
detail,詳細,noun,4
development,発展，発達,noun,4
difference,違い,noun,4
difficulty,困難，苦労,noun,4
direction,方向，方角,noun,4
disease,病気,noun,4
distance,距離,noun,4
doubt,疑い／…を疑う,noun,4
economy,経済,noun,4
education,教育,noun,4
effect,効果，影響，結果,noun,4
environment,環境,noun,4
event,出来事，行事,noun,4
evidence,証拠,noun,4
exchange,交換／…を交換する,noun,4
exercise,運動，練習／運動をする,noun,4
experience,経験／…を経験する,noun,4
experiment,実験,noun,4
expression,表現,noun,4
fact,事実,noun,4
factor,要因，要素,noun,4
failure,失敗，失敗作，失敗者,noun,4
feature,特徴／…を目玉とする,noun,4
field,分野，領域，野原，畑,noun,4
figure,数字，姿，人物,noun,4
force,力／…を［に］強制する,noun,4
form,形態／…を形成する,noun,4
freedom,自由,noun,4
generation,世代,noun,4
god,神,noun,4
government,政府，統治,noun,4
growth,成長,noun,4
habit,（個人の）習慣，癖,noun,4
history,歴史,noun,4
idea,考え，思いつき,noun,4
industry,産業，工業,noun,4
information,情報,noun,4
issue,問題，（雑誌などの）号／…を出す,noun,4
kid,子供／（…を）からかう,noun,4
knowledge,知識,noun,4
labor,労働,noun,4
lack,不足，欠落／…がない,noun,4
language,ことば，言語,noun,4
law,法律，法則,noun,4
level,レベル，水準，程度,noun,4
life,生活，人生，生命,noun,4
limit,限度，制限／…を制限する,noun,4
line,行，列,noun,4
literature,文学,noun,4
loss,失うこと，損失,noun,4
majority,大多数，大半,noun,4
mark,しるし，（試験の）点数／…の印となる,noun,4
market,市場,noun,4
mass,塊，集団，大衆,noun,4
material,材料，原料／物質（的）な,noun,4
meal,食事,noun,4
measure,措置，測るもの／…を測る,noun,4
method,方法,noun,4
million,百万,noun,4
mind,アタマ，思考／…を嫌がる,noun,4
mistake,誤り／…を～と間違える,noun,4
moment,瞬間，時,noun,4
most,大半／最も…,noun,4
movement,動き，（政治的・社会的）運動,noun,4
nation,国家，民族，国民,noun,4
nature,自然，性質,noun,4
note,メモ／…に注目［注意］する,noun,4
object,物体，対象，目的／反対する,noun,4
office,会社，仕事部屋，公職の地位,noun,4
opinion,意見,noun,4
opportunity,機会,noun,4
order,命令，秩序／…に命じる，…を注文する,noun,4
paper,新聞，書類，レポート，論文,noun,4
party,政党，当事者,noun,4
period,期間，時代,noun,4
phone,電話／…に電話をかける,noun,4
place,場所／…を置く,noun,4
plant,植物,noun,4
pleasure,楽しみ，喜び,noun,4
policy,政策，方針,noun,4
population,人口，国民,noun,4
position,位置，立場，地位,noun,4
power,力，権力，大国,noun,4
practice,練習，慣習，実行,noun,4
president,社長，大統領，学長,noun,4
price,値段,noun,4
principle,原理・原則，主義,noun,4
problem,問題,noun,4
process,過程／…を加工処理する,noun,4
product,製品，産物,noun,4
production,生産，製造,noun,4
progress,進歩,noun,4
purpose,目的,noun,4
quality,質,noun,4
range,範囲／範囲が及ぶ,noun,4
rate,率，割合,noun,4
reality,現実,noun,4
reason,理由，理性,noun,4
relation,関係,noun,4
relationship,関係,noun,4
research,研究，調査,noun,4
respect,尊敬，尊重，点／…を尊敬する,noun,4
response,反応，返答,noun,4
rest,休憩，その他／休憩する,noun,4
result,結果,noun,4
science,科学,noun,4
sense,感覚，意味,noun,4
shape,形／…を形作る,noun,4
side,側面，側,noun,4
sign,兆候／…に署名をする,noun,4
situation,状況，情勢,noun,4
skill,技能,noun,4
society,社会,noun,4
sort,種類,noun,4
species,（動植物の）種,noun,4
speech,話，スピーチ，演説,noun,4
stage,段階，舞台,noun,4
standard,標準，基準,noun,4
state,状態，国家，州,noun,4
step,措置，歩み,noun,4
stranger,見知らぬ人，（ある場所に）初めて来た人,noun,4
stress,強調，重圧／…を強調する,noun,4
structure,構造,noun,4
subject,話題，主題,noun,4
success,成功，成功したもの［人］,noun,4
supply,供給／…に供給する,noun,4
surface,表面,noun,4
system,体制，体系，組織,noun,4
task,仕事，作業,noun,4
taste,味／…な味がする,noun,4
technology,テクノロジー，科学技術,noun,4
temperature,温度，体温,noun,4
term,期間，学期，用語，条件，間柄,noun,4
theory,理論,noun,4
trade,貿易，…を交換する,noun,4
traffic,交通，往来／交通の,noun,4
truth,真実,noun,4
universe,宇宙,noun,4
university,大学,noun,4
value,価値／…を重んじる,noun,4
variety,多様,noun,4
view,眺め，見方／…を見る，…を～と見なす,noun,4
war,戦争,noun,4
weather,気候，天気,noun,4
weight,重さ，体重,noun,4
afraid,心配して，怖がって,adjective,4
ancient,古代の，大昔の,adjective,4
available,利用できる，人の手があいている,adjective,4
average,平均の／平均,adjective,4
aware,気づいている,adjective,4
basic,基本的な，基礎的な,adjective,4
certain,ある…，確信している,adjective,4
close,近い，親密な,adjective,4
common,一般的な，共通の,adjective,4
complete,完全な,adjective,4
complex,複雑な,adjective,4
concerned,関わっている，心配している,adjective,4
correct,正確な／…を訂正する,adjective,4
direct,直接の,adjective,4
dressed,服を身につけた,adjective,4
due,行われる［到着する］予定である,adjective,4
economic,経済の，経済的な,adjective,4
environmental,環境の,adjective,4
equal,等しい／…に等しい,adjective,4
essential,不可欠な,adjective,4
expensive,値段が高い,adjective,4
familiar,馴染みのある,adjective,4
famous,有名な,adjective,4
foreign,外国の,adjective,4
free,束縛のない，無料の，暇な,adjective,4
full,いっぱいの，満腹である,adjective,4
general,一般的な，全般的な,adjective,4
healthy,健康（的）な,adjective,4
heavy,重い，大量の,adjective,4
huge,巨大な,adjective,4
human,人間の／人間,adjective,4
impossible,不可能な，だめな,adjective,4
individual,個人の，個々の／個人,adjective,4
industrial,産業の，工業の,adjective,4
international,国際的な,adjective,4
likely,可能性が高い,adjective,4
local,地元の,adjective,4
major,主な，大きな／専攻する,adjective,4
married,結婚した，既婚の,adjective,4
medical,医学の，医療の,adjective,4
mental,精神の，知的な,adjective,4
modern,現代の，近代の,adjective,4
national,国の，国立の,adjective,4
native,生まれ故郷の，生来の,adjective,4
natural,当然の，自然の,adjective,4
necessary,必要な,adjective,4
obvious,明白な,adjective,4
ordinary,普通の,adjective,4
original,当初の／原文,adjective,4
own,自身の／…を所有している,adjective,4
particular,特定の，特にその，気むずかしい,adjective,4
past,過去の／過去,adjective,4
personal,個人的な，個人の,adjective,4
physical,身体の，物理的な,adjective,4
political,政治の，政治的な,adjective,4
popular,人気のある，大衆の,adjective,4
possible,可能な,adjective,4
practical,実用的な，実際的な,adjective,4
present,出席している，現在の,adjective,4
private,個人的な，私的な,adjective,4
professional,専門職の／専門職の人,adjective,4
public,公共の／大衆,adjective,4
recent,最近の,adjective,4
related,関係している，関連した,adjective,4
right,正しい／権利,adjective,4
round,丸い,adjective,4
scientific,科学の,adjective,4
separate,分離した／…を切り離す,adjective,4
serious,真剣な，深刻な,adjective,4
similar,よく似た,adjective,4
single,一つの，一人の，独身の,adjective,4
social,社会の，社交の,adjective,4
special,特別な,adjective,4
strange,奇妙な，見知らぬ,adjective,4
sure,確信して，確実な,adjective,4
thick,厚い,adjective,4
traditional,伝統的な,adjective,4
useful,役に立つ,adjective,4
various,さまざまな,adjective,4
vast,非常に大きな,adjective,4
whole,…の全て，全体の,adjective,4
wrong,間違った,adjective,4
abroad,外国で，外国へ,adverb,4
actually,実際に，現実に,adverb,4
badly,ひどく，悪く,adverb,4
especially,特に,adverb,4
eventually,最終的には,adverb,4
exactly,正確［厳密］に，ちょうど,adverb,4
extremely,極端に,adverb,4
forward,前方へ,adverb,4
frequently,頻繁に,adverb,4
generally,一般的に,adverb,4
highly,とても，高く,adverb,4
however,しかしながら,adverb,4
immediately,即座に,adverb,4
indeed,確かに,adverb,4
later,後に，…後,adverb,4
maybe,たぶん，五分五分で,adverb,4
merely,単に,adverb,4
naturally,当然，自然に,adverb,4
otherwise,さもなければ，それとは違うように,adverb,4
particularly,特に,adverb,4
pretty,かなり,adverb,4
probably,おそらく,adverb,4
quite,かなり，全く,adverb,4
recently,最近,adverb,4
simply,単に,adverb,4
therefore,それゆえ,adverb,4
although,…だけれども,other,4
unless,…でない限り（原則として）,other,4
while,…である一方で，…している間に,other,4
except,…を除いて,other,4
toward,…に向かって,other,4
worth,…の価値がある,other,4
behind,…の背後に／背後に,other,4
abandon,…を捨て去る,verb,5
absorb,…を吸収する，…を没頭させる,verb,5
accomplish,…を成し遂げる,verb,5
accompany,…に付き添う,verb,5
accuse,…を非難［告発］する,verb,5
adapt,…を適合［適応］させる,verb,5
admire,…をすばらしいと思う，…を賞賛する,verb,5
admit,…を認める,verb,5
adopt,…を自分のものにする,verb,5
advertise,…を宣伝［広告］する,verb,5
afford,…の余裕がある,verb,5
aim,ねらいをつける／目的,verb,5
alter,…を変える,verb,5
annoy,…をいらだたせる,verb,5
appeal,訴える,verb,5
arise,起こる，生じる,verb,5
arrange,（…を）計画・準備する,verb,5
associate,…を結びつけて考える,verb,5
attach,…を貼り付ける，…を取り付ける,verb,5
attend,…に出席する,verb,5
attract,…を引きつける,verb,5
behave,振る舞う,verb,5
bind,…を縛りつける,verb,5
block,…を妨げる,verb,5
blow,（…を）吹く／打撃,verb,5
borrow,…を借りる,verb,5
breathe,呼吸をする,verb,5
collect,…を集める，…を徴収する,verb,5
combine,…を結合させる,verb,5
command,…に［を］命じる／行使する力,verb,5
compete,競争する,verb,5
complain,不満を言う,verb,5
compose,…を構成する，＜曲や詩＞を作る,verb,5
concentrate,集中する,verb,5
conclude,締めくくる，…という結論を下す,verb,5
confuse,…を混乱させる,verb,5
connect,…をつなげる,verb,5
considerable,かなりの,verb,5
consist,成り立つ，存在する,verb,5
construct,…を組み立てる，…を建造する,verb,5
contribute,寄付する，貢献する,verb,5
convey,…を伝える，…を運ぶ,verb,5
convince,…に納得させる,verb,5
cope,対処する,verb,5
criticize,…を批判する,verb,5
decision,決定，決心,verb,5
declare,…を宣言する,verb,5
decrease,減少する／減少,verb,5
defeat,…を負かす,verb,5
defend,…を守る,verb,5
deny,…を否定する,verb,5
derive,…を引き出す,verb,5
devote,＜時間・努力＞を注ぐ,verb,5
disappoint,…をがっかりさせる,verb,5
discuss,…について議論する,verb,5
dislike,…を嫌がる／嫌悪,verb,5
display,…を展示する／展示,verb,5
distinguish,…を区別する,verb,5
disturb,…の平穏を妨げる,verb,5
divide,…を分割する,verb,5
educate,…を教育する,verb,5
emerge,現れる,verb,5
emphasize,…を強調する,verb,5
employ,…を雇う,verb,5
enable,…に可能にさせる,verb,5
encounter,…に遭遇する,verb,5
entertain,…を楽しませる,verb,5
estimate,…を推定する，…を見積もる／推定,verb,5
examine,…を検査する，…を調べる,verb,5
expand,…を拡大する,verb,5
explore,…を探索［探検］する,verb,5
export,…を輸出する／輸出,verb,5
expose,…を明らかにする，…をさらす,verb,5
extend,延びる，…を拡張する,verb,5
fix,…を固定する，…を修理する,verb,5
frighten,…をおびえさせる，…を怖がらせる,verb,5
govern,…を統治する,verb,5
graduate,卒業する,verb,5
greet,…にあいさつをする,verb,5
handle,…を手で扱う，…にうまく対処する,verb,5
hang,…をつるす，…を絞首刑にする,verb,5
hate,…をひどく嫌う,verb,5
hesitate,ためらう,verb,5
hire,…を雇う,verb,5
identify,…を見分ける,verb,5
ignore,…を無視する,verb,5
imply,…をほのめかす,verb,5
import,…を輸入する／輸入,verb,5
impress,…に感銘を与える,verb,5
inform,…に知らせる,verb,5
intend,意図する，つもりである,verb,5
interpret,…を解釈する，通訳する,verb,5
isolate,…を孤立させる,verb,5
judge,…を判断する／審判員，裁判官,verb,5
notice,…に気づく／注意，掲示,verb,5
obtain,…を手に入れる,verb,5
occupy,…を占める，…を占領する,verb,5
oppose,…に反対する,verb,5
organize,…を組織する,verb,5
overcome,…を克服する,verb,5
participate,参加する,verb,5
pause,話し［行動］を中断する／間（ま），小休止,verb,5
perceive,…を知覚する,verb,5
permit,…を許可する,verb,5
persuade,説得する,verb,5
possess,…を所有する,verb,5
praise,…をほめる,verb,5
predict,…を予想する，…を予測する,verb,5
preserve,…を保存［保護］する,verb,5
pretend,…のふりをする,verb,5
promote,…を促進する,verb,5
propose,…を提案する,verb,5
punish,…を罰する,verb,5
purchase,…を購入する／購入,verb,5
pursue,…を追い求める,verb,5
quit,（…を）やめる,verb,5
react,反応する,verb,5
recommend,…を薦める,verb,5
recover,回復する,verb,5
reject,…を拒絶する,verb,5
release,…を解き放つ,verb,5
rely,頼る，信頼する,verb,5
remind,…に思い出させる,verb,5
remove,…を取り除く,verb,5
repair,…を修理する,verb,5
replace,…に取って代わる,verb,5
reserve,…を取っておく，…を予約する,verb,5
respond,反応する，返答する,verb,5
retire,退職する，引退する,verb,5
roll,転がる,verb,5
rush,突進する，ダッシュする,verb,5
select,…を選び出す,verb,5
settle,…を決着させる，落ち着く,verb,5
sink,沈む,verb,5
smell,…な臭いがする，…の臭いをかぐ,verb,5
stare,…をじっと見つめる,verb,5
stimulate,…を刺激する,verb,5
stretch,広がる／広がり,verb,5
suit,…に適合する／訴訟,verb,5
surround,…を取り囲む,verb,5
suspect,…を疑う，…ではないかと思う／容疑者,verb,5
tear,…を引き裂く／涙,verb,5
threaten,…を脅かす,verb,5
transfer,…を移す,verb,5
transform,…を変える,verb,5
translate,…を翻訳する,verb,5
transport,…を輸送する／輸送,verb,5
vote,投票する／投票,verb,5
warn,…に警告する,verb,5
account,説明，口座／説明する，占める,noun,5
addition,付加，追加,noun,5
address,住所，演説／…の前で演説をする,noun,5
advice,助言,noun,5
affair,事柄，出来事,noun,5
agent,代理人，代理店,noun,5
agreement,同意，一致,noun,5
agriculture,農業,noun,5
alternative,代替となるもの／代替の,noun,5
ancestor,祖先,noun,5
anger,怒り,noun,5
anxiety,心配，不安,noun,5
appearance,出現，外見,noun,5
assumption,想定，思いこみ,noun,5
association,協会，組合,noun,5
author,著者，作家,noun,5
authority,権威,noun,5
automobile,自動車,noun,5
background,背景，経歴,noun,5
capacity,最大容量［積載量・稼働力］，能力,noun,5
capital,資本，資本金，首都／大文字の,noun,5
career,(生涯にわたる）職業,noun,5
characteristic,特徴,noun,5
charge,非難，料金，管理／…に請求する,noun,5
circumstance,（周囲の）状況,noun,5
citizen,市民,noun,5
climate,気候,noun,5
conclusion,結論,noun,5
condition,状態，条件,noun,5
conduct,行為／…を行う,noun,5
conference,会議,noun,5
confidence,自信，信頼,noun,5
conflict,対立，争い,noun,5
consequence,結果,noun,5
consumption,消費,noun,5
continent,大陸,noun,5
contrast,対照,noun,5
contribution,寄付，貢献,noun,5
conversation,会話,noun,5
cooperation,協力,noun,5
copy,（本・雑誌などの）一冊／…をまねる,noun,5
creation,創造，創造物,noun,5
crime,犯罪,noun,5
crisis,危機,noun,5
criticism,批判,noun,5
crop,収穫物,noun,5
curiosity,好奇心,noun,5
custom,（社会的な）習慣，慣習,noun,5
debate,討論,noun,5
debt,借金，負債,noun,5
decade,１０年,noun,5
definition,定義,noun,5
delight,喜び,noun,5
democracy,民主主義,noun,5
desert,砂漠／…を立ち去る,noun,5
destruction,破壊,noun,5
device,装置，仕掛け,noun,5
diet,（日常の）食事，ダイエット,noun,5
disaster,災害,noun,5
discipline,しつけ，規律,noun,5
discussion,議論,noun,5
distinction,区別，違い,noun,5
district,地域，地区,noun,5
drug,麻薬，薬,noun,5
element,要素,noun,5
employee,従業員,noun,5
enemy,敵,noun,5
entertainment,娯楽,noun,5
error,ミス，間違い,noun,5
evolution,進化，進展,noun,5
excuse,言い訳／…勘弁する,noun,5
expert,専門家,noun,5
explanation,説明　,noun,5
extent,程度,noun,5
faith,信頼，信仰,noun,5
fate,運命,noun,5
fault,欠点，過失，せい,noun,5
favor,親切な行為,noun,5
flight,飛行，（飛行機の）便,noun,5
focus,焦点／…を集中する,noun,5
fuel,燃料,noun,5
function,機能／機能する,noun,5
genius,天才,noun,5
goal,目標，目的,noun,5
grammar,文法,noun,5
grant,給付金／…を与える,noun,5
guide,案内人，案内書／…を案内する,noun,5
harm,害／…を害する,noun,5
height,高さ,noun,5
household,（一つ屋根の下で暮らす）家族，家,noun,5
humanity,人間，人間性,noun,5
ideal,理想／理想の,noun,5
imagination,想像,noun,5
immigrant,移民,noun,5
impact,影響，衝撃,noun,5
impression,印象,noun,5
income,所得,noun,5
independence,独立，自立,noun,5
instruction,指示，指導,noun,5
intelligence,知能，諜報,noun,5
item,項目,noun,5
journey,旅,noun,5
joy,喜び,noun,5
judgement,判断,noun,5
laboratory,実験室,noun,5
landscape,風景,noun,5
laughter,笑い,noun,5
leisure,余暇,noun,5
lesson,授業，教訓,noun,5
luck,運，幸運,noun,5
manager,部長，支配人，監督,noun,5
manner,やり方，方法,noun,5
master,主人，達人／…を習得する,noun,5
match,試合／…と調和する,noun,5
matter,事柄／重要である,noun,5
merchant,商人,noun,5
murder,(故意の）殺人／…を（故意に）殺す,noun,5
necessity,必要，必要なもの,noun,5
neighborhood,近所,noun,5
notion,考え，考え方,noun,5
novel,小説／新奇な,noun,5
observation,観察,noun,5
occasion,（特定の）時，場合,noun,5
occupation,職業,noun,5
operation,操作，運転，手術,noun,5
organization,組織，団体,noun,5
origin,起源,noun,5
pain,痛み,noun,5
passage,（文章の）一節，通路,noun,5
passenger,乗客,noun,5
personality,人格，性格，（芸能界などの）有名人,noun,5
phenomenon,現象,noun,5
philosopher,哲学者,noun,5
philosophy,哲学,noun,5
physics,物理学,noun,5
plenty,たくさん,noun,5
politician,政治家,noun,5
politics,政治,noun,5
popularity,人気,noun,5
presence,存在,noun,5
profit,利益,noun,5
project,計画，事業,noun,5
proof,証拠,noun,5
property,財産，所有地,noun,5
proportion,比率，割合,noun,5
proverb,ことわざ,noun,5
psychologist,心理学者,noun,5
quantity,量,noun,5
reaction,反応　,noun,5
region,地域，地方,noun,5
religion,宗教,noun,5
remark,ことば，感想／…だと述べる,noun,5
reputation,評判,noun,5
revolution,革命,noun,5
reward,褒美，報償／…に褒美［報償］を与える,noun,5
row,列／…をこぐ,noun,5
security,安心，安全，治安,noun,5
self,自己，自我,noun,5
shift,変化／…を変える,noun,5
shortage,不足,noun,5
sight,見ること，視力,noun,5
significance,重要性，意義,noun,5
